user_id,date,rmssd,sdnn,ln_rmssd,ln_rmssd_7d,mean_rr,mean_hr,nn_count,valid
00000000-0000-0000-0000-000000000001,2025-09-01,57.221475889585754,40.60460581157798,4.046929280536191,,847.14,70.83,259,True
00000000-0000-0000-0000-000000000001,2025-09-02,58.866985669179726,42.33515898775457,4.075280418555805,,834.16,71.93,270,True
00000000-0000-0000-0000-000000000001,2025-09-03,59.44461789327494,41.65533695250563,4.085045087386324,,827.03,72.55,261,True
00000000-0000-0000-0000-000000000001,2025-09-04,61.40477964837768,44.194638533192176,4.117487676559494,,835.77,71.79,258,True
00000000-0000-0000-0000-000000000001,2025-09-05,55.63957497761789,39.52584633220046,4.0188947282341525,,815.97,73.53,286,True
00000000-0000-0000-0000-000000000001,2025-09-06,61.62435789040465,43.575990856961305,4.121057212680247,,848.44,70.72,294,True
00000000-0000-0000-0000-000000000001,2025-09-07,60.51893945383329,42.580982775094284,4.102956364870927,4.081093,835.69,71.8,294,True
00000000-0000-0000-0000-000000000001,2025-09-08,63.13068339517911,42.639288883698335,4.145206917525743,4.095133,837.37,71.65,215,True
00000000-0000-0000-0000-000000000001,2025-09-09,58.40990924542422,41.41844859626282,4.067485554300355,4.094019,839.1,71.51,211,True
00000000-0000-0000-0000-000000000001,2025-09-10,58.70764193310883,41.61436163626138,4.072569904614539,4.092237,831.94,72.12,210,True
00000000-0000-0000-0000-000000000001,2025-09-11,56.32987262097881,40.64567634105426,4.031224991604205,4.079914,830.78,72.22,298,True
00000000-0000-0000-0000-000000000001,2025-09-12,55.81730578592019,40.331536954373185,4.022083960836562,4.080369,828.17,72.45,293,True
00000000-0000-0000-0000-000000000001,2025-09-13,56.181349074317026,41.4738310143289,4.028584834814569,4.067159,841.01,71.34,243,True
00000000-0000-0000-0000-000000000001,2025-09-14,60.94895173402546,42.06048873014358,4.110036656993907,4.06817,826.87,72.56,238,True
00000000-0000-0000-0000-000000000001,2025-09-15,60.40429944129678,42.97210412036487,4.101060285210321,4.061864,843.51,71.13,287,True
00000000-0000-0000-0000-000000000001,2025-09-16,56.66845834515013,40.593300454639405,4.037217765737909,4.05754,836.46,71.73,261,True
00000000-0000-0000-0000-000000000001,2025-09-17,60.774780595846714,43.41605746855764,4.10717491009031,4.062483,829.17,72.36,254,True
00000000-0000-0000-0000-000000000001,2025-09-18,60.43847440422586,42.07003821756711,4.1016258955940055,4.072541,839.98,71.43,249,True
00000000-0000-0000-0000-000000000001,2025-09-19,57.62992037478049,40.56889042092498,4.0540418837849534,4.077106,837.06,71.68,200,True
00000000-0000-0000-0000-000000000001,2025-09-20,60.12921640789117,42.935339977739346,4.096495853333289,4.086808,839.59,71.46,224,True
00000000-0000-0000-0000-000000000001,2025-09-21,56.07472989141538,39.7064315686996,4.026685263478315,4.0749,855.97,70.1,230,True
00000000-0000-0000-0000-000000000001,2025-09-22,55.88019468355544,42.11743871806968,4.023210018340377,4.063779,828.11,72.45,267,True
00000000-0000-0000-0000-000000000001,2025-09-23,55.18162944178328,40.0745513436811,4.010630097925157,4.059981,835.57,71.81,231,True
00000000-0000-0000-0000-000000000001,2025-09-24,54.892735513564425,39.572181568386355,4.005381017602839,4.045439,830.73,72.23,208,True
00000000-0000-0000-0000-000000000001,2025-09-25,56.32665848319907,39.97284612139134,4.031167930770729,4.035373,811.79,73.91,205,True
00000000-0000-0000-0000-000000000001,2025-09-26,59.07231677855964,41.713145802311665,4.078762401449968,4.038905,854.38,70.23,280,True
00000000-0000-0000-0000-000000000001,2025-09-27,61.21832015454372,44.08440214230956,4.114446493652782,4.041469,820.53,73.12,283,True
00000000-0000-0000-0000-000000000001,2025-09-28,65.45373846788358,45.82995532548319,4.1813436101728385,4.063563,843.09,71.17,218,True
00000000-0000-0000-0000-000000000001,2025-09-29,59.037912334337086,41.93975367972334,4.078179819476263,4.071416,818.13,73.34,283,True
00000000-0000-0000-0000-000000000001,2025-09-30,60.37520631428172,41.55705065357266,4.100578529180674,4.084266,832.55,72.07,283,True
00000000-0000-0000-0000-000000000001,2025-10-01,63.4506217621092,45.548148653910445,4.150261993357605,4.104963,839.51,71.47,215,True
00000000-0000-0000-0000-000000000001,2025-10-02,57.462271485226815,42.42131731164557,4.051128584360929,4.107814,840.56,71.38,249,True
00000000-0000-0000-0000-000000000001,2025-10-03,54.594188268630894,38.58458185457711,3.999927435119044,4.096552,815.85,73.54,243,True
00000000-0000-0000-0000-000000000001,2025-10-04,53.00485796528526,39.249890010246226,3.9703835690739897,4.075972,822.47,72.95,250,True
00000000-0000-0000-0000-000000000001,2025-10-05,62.072790570033376,42.94974296660153,4.128307737849525,4.068395,848.04,70.75,285,True
00000000-0000-0000-0000-000000000001,2025-10-06,57.147783014343474,43.58859301736442,4.045640597088436,4.063747,849.76,70.61,257,True
00000000-0000-0000-0000-000000000001,2025-10-07,59.07970435726439,42.318663011138625,4.078887453542067,4.060648,840.52,71.38,223,True
00000000-0000-0000-0000-000000000001,2025-10-08,56.97679321893592,40.03389509882864,4.0426440484220825,4.045274,830.4,72.25,232,True
00000000-0000-0000-0000-000000000001,2025-10-09,58.57788803354534,40.368363181053965,4.070357288061817,4.048021,853.02,70.34,200,True
00000000-0000-0000-0000-000000000001,2025-10-10,60.114579758981435,40.9399829933273,4.096252403784147,4.061782,843.68,71.12,240,True
