user_id,date,fatigue,stress,doms,sleep
00000000-0000-0000-0000-000000000001,2025-09-01,2.0,1.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-02,4.0,1.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-03,1.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-04,1.0,1.0,,1.0
00000000-0000-0000-0000-000000000001,2025-09-05,3.0,1.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-06,2.0,4.0,2.0,5.0
00000000-0000-0000-0000-000000000001,2025-09-07,2.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-08,,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-09,2.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-10,,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-11,2.0,2.0,2.0,
00000000-0000-0000-0000-000000000001,2025-09-12,2.0,1.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-13,3.0,3.0,1.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-14,2.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-15,2.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-16,2.0,2.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-17,4.0,3.0,1.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-18,1.0,3.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-19,3.0,4.0,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-20,2.0,2.0,,3.0
00000000-0000-0000-0000-000000000001,2025-09-21,3.0,3.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-22,,2.0,1.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-23,3.0,2.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-24,1.0,2.0,2.0,
00000000-0000-0000-0000-000000000001,2025-09-25,1.0,2.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-26,1.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-27,2.0,2.0,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-28,2.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-29,2.0,3.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-30,3.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-01,2.0,,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-02,4.0,1.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-03,2.0,1.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-04,1.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-05,1.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-06,2.0,2.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-07,2.0,3.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-08,2.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-09,1.0,1.0,1.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-10,,3.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-11,2.0,2.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-12,1.0,2.0,1.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-13,1.0,1.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-14,1.0,2.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-15,1.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-16,3.0,1.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-17,3.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-18,4.0,2.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-19,2.0,2.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-20,1.0,2.0,,2.0
00000000-0000-0000-0000-000000000001,2025-10-21,3.0,2.0,1.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-22,2.0,2.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-23,2.0,2.0,4.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-24,3.0,2.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-25,1.0,3.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-26,2.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-27,1.0,3.0,1.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-28,1.0,,1.0,4.0
00000000-0000-0000-0000-000000000001,2025-10-29,2.0,1.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-30,,3.0,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-31,3.0,1.0,4.0,2.0
00000000-0000-0000-0000-000000000001,2025-11-01,2.0,2.0,3.0,3.0
